L4 | Tue Mar 16 06:15:04 2021 (835 ms) | general | exiting: calling SDL_CloseAudio
L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1600 x 900

L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1440 x 900

L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1366 x 768

L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1280 x 1024

L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1280 x 800

L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1280 x 720

L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1024 x 768

L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    800 x 600

L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    720 x 576

L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    720 x 480

L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    640 x 480

L4 | Wed Aug  4 08:32:17 2021 (881 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Wed Aug  4 08:32:17 2021 (955 ms) | general | Recording game into file recordedGames/recordedGame000030.txt
L4 | Wed Aug  4 08:32:17 2021 (955 ms) | general | Only keeping 20 past recordings
L4 | Wed Aug  4 08:32:17 2021 (957 ms) | general | Removed 1 stale recordings
L4 | Wed Aug  4 08:32:17 2021 (986 ms) | general | OneLife client v363 (binV=361, dataV=363) starting up
L2 | Wed Aug  4 08:32:18 2021 (151 ms) | general | xclip must be installed for clipboard to work
L4 | Wed Aug  4 08:33:22 2021 (550 ms) | general | exiting...

L4 | Wed Aug  4 08:33:22 2021 (550 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Aug  4 08:33:22 2021 (598 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Aug  4 08:33:22 2021 (598 ms) | general | Freeing sound sprites

L4 | Wed Aug  4 08:33:22 2021 (598 ms) | general | exiting: freeing frameDrawer

L4 | Wed Aug  4 08:33:22 2021 (644 ms) | general | exiting: Deleting screen

L4 | Wed Aug  4 08:33:22 2021 (644 ms) | general | exiting: freeing drawString

L4 | Wed Aug  4 08:33:22 2021 (644 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Aug  4 08:33:22 2021 (732 ms) | general | exiting: Done.

L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | New game starting up
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | Target game image size:  1280x720

L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | The following frame rates are considered possible:
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | 30 fps
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | 60 fps
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | 100 fps
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | 120 fps
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | 144 fps
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | Sticking with user's current screen resolution
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general | Available video modes:
L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1920 x 1080

L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1680 x 1050

L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1600 x 900

L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1440 x 900

L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1366 x 768

L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1280 x 1024

L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1280 x 800

L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1280 x 720

L4 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    1024 x 768

L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    800 x 600

L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    720 x 576

L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    720 x 480

L5 | Wed Aug  4 19:10:56 2021 (628 ms) | general |    640 x 480

L4 | Wed Aug  4 19:10:56 2021 (808 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Wed Aug  4 19:10:56 2021 (883 ms) | general | Recording game into file recordedGames/recordedGame000031.txt
L4 | Wed Aug  4 19:10:56 2021 (883 ms) | general | Only keeping 20 past recordings
L4 | Wed Aug  4 19:10:56 2021 (884 ms) | general | Removed 1 stale recordings
L4 | Wed Aug  4 19:10:56 2021 (927 ms) | general | OneLife client v363 (binV=361, dataV=363) starting up
L2 | Wed Aug  4 19:10:57 2021 (101 ms) | general | xclip must be installed for clipboard to work
L4 | Wed Aug  4 19:20:51 2021 (103 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 19:20:51 2021 (103 ms) | general | All resolutions available
L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general | Sticking with user's current screen resolution
L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general | Available video modes:
L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1920 x 1080

L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1680 x 1050

L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1600 x 900

L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1440 x 900

L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1366 x 768

L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1280 x 1024

L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1280 x 800

L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1280 x 720

L4 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    1024 x 768

L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    800 x 600

L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    720 x 576

L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    720 x 480

L5 | Wed Aug  4 19:21:02 2021 (568 ms) | general |    640 x 480

L4 | Wed Aug  4 19:22:31 2021 (301 ms) | general | exiting...

L4 | Wed Aug  4 19:22:31 2021 (301 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Aug  4 19:22:31 2021 (346 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Aug  4 19:22:31 2021 (346 ms) | general | Freeing sound sprites

L4 | Wed Aug  4 19:22:31 2021 (347 ms) | general | exiting: freeing frameDrawer

L4 | Wed Aug  4 19:22:31 2021 (393 ms) | general | exiting: Deleting screen

L4 | Wed Aug  4 19:22:31 2021 (393 ms) | general | exiting: freeing drawString

L4 | Wed Aug  4 19:22:31 2021 (393 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Aug  4 19:22:31 2021 (545 ms) | general | exiting: Done.

